,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hemi
0,Statesboro,32.4488,-81.7832,55.2,28,0,10.36,US,1642975530,north
1,Mataura,-46.1927,168.8643,57.47,50,51,1.32,NZ,1642975531,south
2,Kapaa,22.0752,-159.319,79.12,72,20,3.0,US,1642975532,north
3,Carutapera,-1.195,-46.02,76.77,92,77,6.62,BR,1642975533,south
4,Mount Gambier,-37.8333,140.7667,76.26,40,78,3.18,AU,1642975533,south
5,Esperance,-33.8667,121.9,64.24,85,85,14.43,AU,1642975533,south
6,Vieux Fort,13.7167,-60.95,78.12,73,20,17.27,LC,1642975534,north
7,Bluff,-46.6,168.3333,57.79,58,77,0.2,NZ,1642975535,south
8,Busselton,-33.65,115.3333,65.05,72,53,15.68,AU,1642975536,south
9,Terrace,54.5163,-128.6035,40.42,100,100,0.74,CA,1642975536,north
10,Khatanga,71.9667,102.5,-21.23,100,100,3.2,RU,1642975537,north
11,Punta Arenas,-53.15,-70.9167,57.31,54,75,20.71,CL,1642975538,south
12,Marawi,7.9986,124.2928,68.65,98,100,2.68,PH,1642975538,north
13,Salalah,17.0151,54.0924,63.48,29,0,13.51,OM,1642975539,north
14,East London,-33.0153,27.9116,73.24,76,0,21.18,ZA,1642975540,south
15,Portland,45.5234,-122.6762,57.06,67,31,4.0,US,1642975439,north
16,Palmer,42.1584,-72.3287,32.56,49,100,5.75,US,1642975540,north
17,Dămuc,46.8,25.9,18.64,96,94,3.83,RO,1642975541,north
18,Malinovskiy,61.1953,62.8397,0.37,98,92,2.59,RU,1642975542,north
19,Narsaq,60.9167,-46.05,23.22,71,100,11.01,GL,1642975542,north
20,Butaritari,3.0707,172.7902,81.91,80,98,18.1,KI,1642975543,north
21,Havøysund,70.9963,24.6622,41.88,81,100,44.94,NO,1642975544,north
22,Fare,-16.7,-151.0167,81.34,70,97,16.37,PF,1642975544,south
23,Hasaki,35.7333,140.8333,37.8,74,100,17.25,JP,1642975545,north
24,Torbay,47.6666,-52.7314,27.75,92,96,5.99,CA,1642975528,north
25,Albany,42.6001,-73.9662,28.47,74,100,1.9,US,1642975359,north
26,Ushuaia,-54.8,-68.3,51.46,66,75,21.85,AR,1642975430,south
27,Mezen',65.8522,44.24,13.57,93,100,12.19,RU,1642975547,north
28,Henties Bay,-22.116,14.2845,77.86,74,33,6.06,NA,1642975548,south
29,Constitución,-35.3333,-72.4167,65.84,68,0,20.31,CL,1642975548,south
30,Ponta do Sol,32.6667,-17.1,64.71,78,98,6.02,PT,1642975549,north
31,Kuminskiy,58.6667,66.5667,4.73,97,91,4.45,RU,1642975549,north
32,Kiruna,67.8557,20.2251,40.12,70,75,8.05,SE,1642975550,north
33,Ozinki,51.1786,49.6769,15.17,90,100,11.05,RU,1642975551,north
34,Grindavik,63.8424,-22.4338,28.87,93,75,17.27,IS,1642975551,north
35,Soure,-0.7167,-48.5233,78.42,87,87,8.52,BR,1642975552,south
36,Kangaatsiaq,68.3065,-53.4641,9.61,94,100,10.0,GL,1642975553,north
37,Cabo San Lucas,22.8909,-109.9124,74.61,70,95,1.99,MX,1642975289,north
38,Laas,46.6166,10.7002,32.36,61,2,5.68,IT,1642975554,north
39,Hermanus,-34.4187,19.2345,68.9,96,43,6.58,ZA,1642975554,south
40,Caravelas,-17.7125,-39.2481,76.17,81,37,4.38,BR,1642975555,south
41,Wilmington,34.2257,-77.9447,44.51,69,0,5.75,US,1642975288,north
42,Nikolskoye,59.7035,30.7861,27.88,94,94,8.37,RU,1642975556,north
43,Port Hedland,-20.3167,118.5667,82.45,94,73,3.44,AU,1642975557,south
44,Yellowknife,62.456,-114.3525,-14.71,81,48,5.99,CA,1642975557,north
45,Mar del Plata,-38.0023,-57.5575,78.82,58,0,8.01,AR,1642975558,south
46,Cidreira,-30.1811,-50.2056,78.33,86,37,5.91,BR,1642975559,south
47,Khani,41.9563,42.9566,40.57,72,100,9.26,GE,1642975559,north
48,Port Alfred,-33.5906,26.891,73.09,78,0,21.72,ZA,1642975560,south
49,Kolondiéba,11.0882,-6.8926,73.06,14,1,5.93,ML,1642975561,north
50,Hilo,19.7297,-155.09,79.11,76,32,4.0,US,1642975372,north
